District code,State name,District name,Population,Female,Female_Literate
1,JAMMU AND KASHMIR,Kupwara,870354,396164,156831
2,JAMMU AND KASHMIR,Badgam,753745,355704,127908
3,JAMMU AND KASHMIR,Leh(Ladakh),133487,54516,30936
4,JAMMU AND KASHMIR,Kargil,140802,63017,29935
5,JAMMU AND KASHMIR,Punch,476835,224936,98391
6,JAMMU AND KASHMIR,Rajouri,642415,297064,139640
7,JAMMU AND KASHMIR,Kathua,616435,290326,160705
8,JAMMU AND KASHMIR,Baramula,1008039,473306,207979
9,JAMMU AND KASHMIR,Bandipore,392232,184552,68921
10,JAMMU AND KASHMIR,Srinagar,1236829,585705,316838
11,JAMMU AND KASHMIR,Ganderbal,297446,138726,52695
12,JAMMU AND KASHMIR,Pulwama,560440,267376,115632
13,JAMMU AND KASHMIR,Shupiyan,266215,129735,56145
14,JAMMU AND KASHMIR,Anantnag,1078692,518925,221115
15,JAMMU AND KASHMIR,Kulgam,424483,206863,84033
16,JAMMU AND KASHMIR,Doda,409936,196295,80463
17,JAMMU AND KASHMIR,Ramban,283713,134581,41127
18,JAMMU AND KASHMIR,Kishtwar,230696,110531,38806
19,JAMMU AND KASHMIR,Udhampur,554985,258201,124811
20,JAMMU AND KASHMIR,Reasi,314667,148206,56605
21,JAMMU AND KASHMIR,Jammu,1529958,716137,495219
22,JAMMU AND KASHMIR,Samba,318898,149774,97827
23,HIMACHAL PRADESH,Chamba,519080,257760,137778
24,HIMACHAL PRADESH,Kangra,1510075,759484,546197
25,HIMACHAL PRADESH,Lahul AND Spiti,31564,14976,8948
26,HIMACHAL PRADESH,Kullu,437903,212451,133122
27,HIMACHAL PRADESH,Mandi,999777,501712,330078
28,HIMACHAL PRADESH,Hamirpur,454768,237698,177536
29,HIMACHAL PRADESH,Una,521173,257481,186434
30,HIMACHAL PRADESH,Bilaspur,381956,189192,132021
31,HIMACHAL PRADESH,Solan,580320,271566,184206
32,HIMACHAL PRADESH,Sirmaur,529855,253566,157028
33,HIMACHAL PRADESH,Shimla,814010,388971,269796
34,HIMACHAL PRADESH,Kinnaur,84121,37872,24002
35,PUNJAB,Gurdaspur,2298323,1085706,727059
36,PUNJAB,Kapurthala,815168,388857,260313
37,PUNJAB,Jalandhar,2193590,1048379,739956
38,PUNJAB,Hoshiarpur,1586625,777568,561772
39,PUNJAB,Shahid Bhagat Singh Nagar,612310,299019,199304
40,PUNJAB,Fatehgarh Sahib,600163,279368,187337
41,PUNJAB,Ludhiana,3498739,1630923,1131877
42,PUNJAB,Moga,995746,469826,279340
43,PUNJAB,Firozpur,2029074,957437,520441
44,PUNJAB,Muktsar,901896,426274,224447
45,PUNJAB,Faridkot,617508,290837,165518
46,PUNJAB,Bathinda,1388525,645328,356607
47,PUNJAB,Mansa,769751,361019,179523
48,PUNJAB,Patiala,1895686,893164,555739
49,PUNJAB,Amritsar,2490656,1172248,751789
50,PUNJAB,Tarn Taran,1119627,530258,289735
51,PUNJAB,Rupnagar,684627,327142,224197
52,PUNJAB,Sahibzada Ajit Singh Nagar,994628,465375,326631
53,PUNJAB,Sangrur,1655169,777140,431664
54,PUNJAB,Barnala,595527,278005,157832
55,CHANDIGARH,Chandigarh,1055450,474787,340092
56,UTTARAKHAND,Uttarkashi,330086,161489,86889
57,UTTARAKHAND,Chamoli,391605,197614,125161
58,UTTARAKHAND,Rudraprayag,242285,127696,79130
59,UTTARAKHAND,Tehri Garhwal,618931,320945,180588
60,UTTARAKHAND,Dehradun,1696694,804495,557290
61,UTTARAKHAND,Garhwal,687271,360442,232741
62,UTTARAKHAND,Pithoragarh,483439,244133,155927
63,UTTARAKHAND,Bageshwar,259898,135572,81937
64,UTTARAKHAND,Almora,622506,331425,204893
65,UTTARAKHAND,Champawat,259648,128523,75711
66,UTTARAKHAND,Nainital,954605,460939,310721
67,UTTARAKHAND,Udham Singh Nagar,1648902,790119,439314
68,UTTARAKHAND,Hardwar,1890422,885127,486943
69,HARYANA,Panchkula,561293,261614,175456
70,HARYANA,Ambala,1128350,529647,356737
71,HARYANA,Yamunanagar,1214205,567487,357664
72,HARYANA,Kurukshetra,964655,453679,276065
73,HARYANA,Kaithal,1074304,503301,260747
74,HARYANA,Karnal,1505324,707612,413497
75,HARYANA,Panipat,1205437,558580,322463
76,HARYANA,Sonipat,1450001,668702,408435
77,HARYANA,Jind,1334152,621146,330709
78,HARYANA,Fatehabad,942011,446651,230107
79,HARYANA,Sirsa,1295189,612607,325929
80,HARYANA,Hisar,1743931,812369,444111
81,HARYANA,Bhiwani,1634445,767773,426713
82,HARYANA,Rohtak,1061204,492725,311557
83,HARYANA,Jhajjar,958405,443738,276611
84,HARYANA,Mahendragarh,922088,435423,249815
85,HARYANA,Rewari,900332,425997,261494
86,HARYANA,Gurgaon,1514432,697742,472450
87,HARYANA,Mewat,1089263,518101,146462
88,HARYANA,Faridabad,1809733,843623,537799
89,HARYANA,Palwal,1042708,488211,220100
90,NCT OF DELHI,North West,3656539,1695617,1165903
91,NCT OF DELHI,North,887978,412976,299902
92,NCT OF DELHI,North East,2241624,1053199,699107
93,NCT OF DELHI,East,1709346,801846,604616
94,NCT OF DELHI,New Delhi,142004,64062,48501
95,NCT OF DELHI,Central,582320,274499,201842
96,NCT OF DELHI,West,2543243,1187003,867246
97,NCT OF DELHI,South West,2292958,1046912,762428
98,NCT OF DELHI,South,2731929,1264501,893366
99,RAJASTHAN,Ganganagar,1969168,925828,482435
100,RAJASTHAN,Hanumangarh,1774692,843508,409855
101,RAJASTHAN,Bikaner,2363937,1123136,496402
102,RAJASTHAN,Churu,2039547,988101,452540
103,RAJASTHAN,Jhunjhunun,2137045,1041149,554526
104,RAJASTHAN,Alwar,3674179,1735153,822647
105,RAJASTHAN,Bharatpur,2548462,1192736,536959
106,RAJASTHAN,Dhaulpur,1206516,552869,247377
107,RAJASTHAN,Karauli,1458248,674609,273945
108,RAJASTHAN,Sawai Madhopur,1335551,631520,255564
109,RAJASTHAN,Dausa,1634409,776622,341116
110,RAJASTHAN,Jaipur,6626178,3157671,1746172
111,RAJASTHAN,Sikar,2677333,1302343,656842
112,RAJASTHAN,Nagaur,3307743,1611418,655874
113,RAJASTHAN,Jodhpur,3687165,1763237,765779
114,RAJASTHAN,Jaisalmer,669919,308211,98238
115,RAJASTHAN,Barmer,2603751,1234729,404861
116,RAJASTHAN,Jalor,1828730,892096,285659
117,RAJASTHAN,Sirohi,1036346,502115,166906
118,RAJASTHAN,Pali,2037573,1012151,418312
119,RAJASTHAN,Ajmer,2583052,1258967,600405
120,RAJASTHAN,Tonk,1421326,693190,271330
121,RAJASTHAN,Bundi,1110906,533746,213339
122,RAJASTHAN,Bhilwara,2408523,1187787,478544
123,RAJASTHAN,Rajsamand,1156597,575258,235805
124,RAJASTHAN,Dungarpur,1388552,692020,265771
125,RAJASTHAN,Banswara,1797485,889731,315489
126,RAJASTHAN,Chittaurgarh,1544338,761167,306974
127,RAJASTHAN,Kota,1951014,929853,532949
128,RAJASTHAN,Baran,1222755,588810,260700
129,RAJASTHAN,Jhalawar,1411129,685986,272977
130,RAJASTHAN,Udaipur,3068420,1501619,609185
131,RAJASTHAN,Pratapgarh,867848,430104,151393
132,UTTAR PRADESH,Saharanpur,3466382,1632276,856994
133,UTTAR PRADESH,Muzaffarnagar,4143512,1950078,968811
134,UTTAR PRADESH,Bijnor,3682713,1761498,893922
135,UTTAR PRADESH,Moradabad,4772006,2268820,906413
136,UTTAR PRADESH,Rampur,2335819,1111930,413258
137,UTTAR PRADESH,Jyotiba Phule Nagar,1840221,876772,382569
138,UTTAR PRADESH,Meerut,3443689,1617946,886968
139,UTTAR PRADESH,Baghpat,1303048,602978,308112
140,UTTAR PRADESH,Ghaziabad,4681645,2192811,1311867
141,UTTAR PRADESH,Gautam Buddha Nagar,1648115,757901,456882
142,UTTAR PRADESH,Bulandshahr,3499171,1653911,778342
143,UTTAR PRADESH,Aligarh,3673889,1721893,809187
144,UTTAR PRADESH,Mahamaya Nagar,1564708,728581,363415
145,UTTAR PRADESH,Mathura,2547184,1180059,564400
146,UTTAR PRADESH,Agra,4418797,2053844,1065916
147,UTTAR PRADESH,Firozabad,2498156,1166110,609492
148,UTTAR PRADESH,Mainpuri,1868529,875152,491775
149,UTTAR PRADESH,Budaun,3681896,1714137,560976
150,UTTAR PRADESH,Bareilly,4448359,2090694,849062
151,UTTAR PRADESH,Pilibhit,2031007,959005,406805
152,UTTAR PRADESH,Shahjahanpur,3006538,1400135,575788
153,UTTAR PRADESH,Kheri,4021243,1898056,796887
154,UTTAR PRADESH,Sitapur,4483992,2108728,886031
155,UTTAR PRADESH,Hardoi,4092845,1901403,847014
156,UTTAR PRADESH,Unnao,3108367,1478280,720521
157,UTTAR PRADESH,Lucknow,4589838,2195362,1384820
158,UTTAR PRADESH,Rae Bareli,3405559,1653017,799878
159,UTTAR PRADESH,Farrukhabad,1885204,878964,437850
160,UTTAR PRADESH,Kannauj,1656616,774840,413491
161,UTTAR PRADESH,Etawah,1581810,735954,438420
162,UTTAR PRADESH,Auraiya,1379545,639505,384638
163,UTTAR PRADESH,Kanpur Dehat,1796184,832929,477279
164,UTTAR PRADESH,Kanpur Nagar,4581268,2121462,1413843
165,UTTAR PRADESH,Jalaun,1689974,783882,421766
166,UTTAR PRADESH,Jhansi,1998603,941167,520808
167,UTTAR PRADESH,Lalitpur,1221592,580581,243605
168,UTTAR PRADESH,Hamirpur,1104285,510748,245174
169,UTTAR PRADESH,Mahoba,875958,409600,185823
170,UTTAR PRADESH,Banda,1799410,833534,372311
171,UTTAR PRADESH,Chitrakoot,991730,464009,200733
172,UTTAR PRADESH,Fatehpur,2632733,1248011,601163
173,UTTAR PRADESH,Pratapgarh,3209141,1603056,810178
174,UTTAR PRADESH,Kaushambi,1599596,761111,306145
175,UTTAR PRADESH,Allahabad,5954391,2822584,1466387
176,UTTAR PRADESH,Bara Banki,3260699,1553626,681940
177,UTTAR PRADESH,Faizabad,2470996,1211368,612562
178,UTTAR PRADESH,Ambedkar Nagar,2397888,1185478,640263
179,UTTAR PRADESH,Sultanpur,3797117,1882531,939654
180,UTTAR PRADESH,Bahraich,3487731,1643847,520083
181,UTTAR PRADESH,Shrawasti,1117361,523464,146613
182,UTTAR PRADESH,Balrampur,2148665,1033944,323414
183,UTTAR PRADESH,Gonda,3433919,1646773,645813
184,UTTAR PRADESH,Siddharthnagar,2559297,1264202,488208
185,UTTAR PRADESH,Basti,2464464,1209192,574064
186,UTTAR PRADESH,Sant Kabir Nagar,1715183,845527,387851
187,UTTAR PRADESH,Mahrajganj,2684703,1302949,537470
188,UTTAR PRADESH,Gorakhpur,4440895,2163118,1106438
189,UTTAR PRADESH,Kushinagar,3564544,1746489,771098
190,UTTAR PRADESH,Deoria,3100946,1563510,795951
191,UTTAR PRADESH,Azamgarh,4613913,2328909,1212503
192,UTTAR PRADESH,Mau,2205968,1091259,589962
193,UTTAR PRADESH,Ballia,3239774,1566872,802630
194,UTTAR PRADESH,Jaunpur,4494204,2273739,1166283
195,UTTAR PRADESH,Ghazipur,3620268,1765193,903996
196,UTTAR PRADESH,Chandauli,1952756,934851,475152
197,UTTAR PRADESH,Varanasi,3676841,1754984,1014787
198,UTTAR PRADESH,Sant Ravidas Nagar (Bhadohi),1578213,771114,363364
199,UTTAR PRADESH,Mirzapur,2496970,1184668,562846
200,UTTAR PRADESH,Sonbhadra,1862559,891215,383720
201,UTTAR PRADESH,Etah,1774480,827141,408160
202,UTTAR PRADESH,Kanshiram Nagar,1436719,672554,272047
203,BIHAR,Pashchim Champaran,3935042,1873932,668255
204,BIHAR,Purba Champaran,5099371,2418162,869354
205,BIHAR,Sheohar,656246,309573,112053
206,BIHAR,Sitamarhi,3423574,1620322,551606
207,BIHAR,Madhubani,4487379,2158066,815253
208,BIHAR,Supaul,2229076,1073793,385611
209,BIHAR,Araria,2811569,1348236,468125
210,BIHAR,Kishanganj,1690400,823430,305135
211,BIHAR,Purnia,3264619,1565249,527065
212,BIHAR,Katihar,3071029,1470599,517934
213,BIHAR,Madhepura,2001762,954203,316911
214,BIHAR,Saharsa,1900661,903487,298622
215,BIHAR,Darbhanga,3937385,1877436,691068
216,BIHAR,Muzaffarpur,4801062,2273565,1022115
217,BIHAR,Gopalganj,2562012,1294346,589093
218,BIHAR,Siwan,3330464,1655374,814269
219,BIHAR,Saran,3951862,1929041,871687
220,BIHAR,Vaishali,3495021,1650486,774164
221,BIHAR,Samastipur,4261566,2031563,849305
222,BIHAR,Begusarai,2970541,1402881,630166
223,BIHAR,Khagaria,1666886,783100,306875
224,BIHAR,Bhagalpur,3037766,1422103,635397
225,BIHAR,Banka,2034763,967623,374360
226,BIHAR,Munger,1367765,638724,328076
227,BIHAR,Lakhisarai,1000912,474567,202088
228,BIHAR,Sheikhpura,636342,306599,132245
229,BIHAR,Nalanda,2877653,1380593,600375
230,BIHAR,Patna,5838465,2759953,1431632
231,BIHAR,Bhojpur,2728407,1298027,625665
232,BIHAR,Buxar,1706352,818375,396263
233,BIHAR,Kaimur (Bhabua),1626384,779378,370353
234,BIHAR,Rohtas,2959918,1416372,738049
235,BIHAR,Aurangabad,2540073,1221389,597269
236,BIHAR,Gaya,4391418,2124852,928810
237,BIHAR,Nawada,2219146,1074478,431538
238,BIHAR,Jamui,1760405,844341,324203
239,BIHAR,Jehanabad,1125313,539731,244469
240,BIHAR,Arwal,700843,337346,151072
241,SIKKIM,North  District,43709,18979,11871
242,SIKKIM,West District,136435,66197,41444
243,SIKKIM,South District,146850,70180,47384
244,SIKKIM,East District,283583,132151,92984
245,ARUNACHAL PRADESH,Tawang,49977,20826,8353
246,ARUNACHAL PRADESH,West Kameng,83947,37792,18926
247,ARUNACHAL PRADESH,East Kameng,78690,39915,16850
248,ARUNACHAL PRADESH,Papum Pare,176573,87391,55254
249,ARUNACHAL PRADESH,Upper Subansiri,83448,41690,20471
250,ARUNACHAL PRADESH,West Siang,112274,54106,27969
251,ARUNACHAL PRADESH,East Siang,99214,49098,28366
252,ARUNACHAL PRADESH,Upper Siang,35320,16621,7472
253,ARUNACHAL PRADESH,Changlang,148226,71278,29147
254,ARUNACHAL PRADESH,Tirap,111975,54371,18661
255,ARUNACHAL PRADESH,Lower Subansiri,83030,41187,24587
256,ARUNACHAL PRADESH,Kurung Kumey,92076,46758,16348
257,ARUNACHAL PRADESH,Dibang Valley,8004,3590,1822
258,ARUNACHAL PRADESH,Lower Dibang Valley,54080,26027,13762
259,ARUNACHAL PRADESH,Lohit,145726,69505,34682
260,ARUNACHAL PRADESH,Anjaw,21167,9660,3467
261,NAGALAND,Mon,250260,118507,52194
262,NAGALAND,Mokokchung,194622,93530,76015
263,NAGALAND,Zunheboto,140757,69540,49377
264,NAGALAND,Wokha,166343,81838,60823
265,NAGALAND,Dimapur,378811,181417,127895
266,NAGALAND,Phek,163418,79675,47967
267,NAGALAND,Tuensang,196596,94663,53858
268,NAGALAND,Longleng,50484,23982,13720
269,NAGALAND,Kiphire,74004,36174,18557
270,NAGALAND,Kohima,267988,129022,90451
271,NAGALAND,Peren,95219,45505,27620
272,MANIPUR,Senapati,479148,231825,116465
273,MANIPUR,Tamenglong,140651,68280,37603
274,MANIPUR,Churachandpur,274143,135323,91922
275,MANIPUR,Bishnupur,237399,118617,69020
276,MANIPUR,Thoubal,422168,211323,116687
277,MANIPUR,Imphal West,517992,262938,186641
278,MANIPUR,Imphal East,456113,230019,151350
279,MANIPUR,Ukhrul,183998,89280,59681
280,MANIPUR,Chandel,144182,69603,39249
281,MIZORAM,Mamit,86364,41536,27214
282,MIZORAM,Kolasib,83955,41037,31748
283,MIZORAM,Aizawl,400309,201039,171048
284,MIZORAM,Champhai,125745,62357,49362
285,MIZORAM,Serchhip,64937,32086,26878
286,MIZORAM,Lunglei,161428,78537,56607
287,MIZORAM,Lawngtlai,117894,57295,26417
288,MIZORAM,Saiha,56574,27980,20372
289,TRIPURA,West Tripura,1725739,846311,638356
290,TRIPURA,South Tripura,876001,428457,295728
291,TRIPURA,Dhalai,378230,183686,124574
292,TRIPURA,North Tripura,693947,341087,244756
293,MEGHALAYA,West Garo Hills,643291,319132,165264
294,MEGHALAYA,East Garo Hills,317917,156694,89634
295,MEGHALAYA,South Garo Hills,142334,69164,37059
296,MEGHALAYA,West Khasi Hills,383461,189746,113371
297,MEGHALAYA,Ribhoi,258840,126309,74882
298,MEGHALAYA,East Khasi Hills,825922,415173,290760
299,MEGHALAYA,Jaintia Hills,395124,198839,100156
300,ASSAM,Kokrajhar,887142,434237,214085
301,ASSAM,Dhubri,1949258,951410,410790
302,ASSAM,Goalpara,1008183,494891,259275
303,ASSAM,Barpeta,1693622,826618,398020
304,ASSAM,Morigaon,957423,470772,250204
305,ASSAM,Nagaon,2823768,1384656,788866
306,ASSAM,Sonitpur,1924110,940206,488047
307,ASSAM,Lakhimpur,1042137,512463,307934
308,ASSAM,Dhemaji,686133,334884,185267
309,ASSAM,Tinsukia,1327929,647698,344873
310,ASSAM,Dibrugarh,1326335,649901,393170
311,ASSAM,Sivasagar,1151050,561834,368738
312,ASSAM,Jorhat,1092256,535451,362594
313,ASSAM,Golaghat,1066888,523727,325289
314,ASSAM,Karbi Anglong,956313,466146,242961
315,ASSAM,Dima Hasao,214102,103300,62314
316,ASSAM,Cachar,1736617,850333,534182
317,ASSAM,Karimganj,1228686,602822,359355
318,ASSAM,Hailakandi,659296,321406,180530
319,ASSAM,Bongaigaon,738804,362986,196964
320,ASSAM,Chirang,482162,237302,114033
321,ASSAM,Kamrup,1517542,739081,445100
322,ASSAM,Kamrup Metropolitan,1253938,606353,463964
323,ASSAM,Nalbari,771639,375633,238587
324,ASSAM,Baksa,950075,468745,250223
325,ASSAM,Darrang,928500,453227,218373
